rate,location,rest_type,dish_liked,cuisines,cost_for_2
4.1/5,Banashankari,Casual Dining,Pasta Lunch Buffet Masala Papad Paneer Lajawab Tomato Shorba Dum Biryani Sweet Corn Soup,North Indian Mughlai Chinese,800
4.1/5,Banashankari,Casual Dining,Momos Lunch Buffet Chocolate Nirvana Thai Green Curry Paneer Tikka Dum Biryani Chicken Biryani,Chinese North Indian Thai,800
3.8/5,Banashankari,Cafe Casual Dining,Churros Cannelloni Minestrone Soup Hot Chocolate Pink Sauce Pasta Salsa Veg Supreme Pizza,Cafe Mexican Italian,800
3.7/5,Banashankari,Quick Bites,Masala Dosa,South Indian North Indian,300
3.8/5,Basavanagudi,Casual Dining,Panipuri Gol Gappe,North Indian Rajasthani,600
3.8/5,Basavanagudi,Casual Dining,Onion Rings Pasta Kadhai Paneer Salads Salad Roti Jeera Rice,North Indian,600
4.6/5,Banashankari,Casual Dining Cafe,Farmhouse Pizza Chocolate Banana Virgin Mojito Pasta Paneer Tikka Lime Soda Prawn Pizza,Pizza Cafe Italian,600
4.0/5,Banashankari,Cafe,Pizza Mocktails Coffee Nachos Salad Pasta Sandwiches,Cafe Italian Continental,700
4.2/5,Banashankari,Cafe,Waffles Pasta Coleslaw Sandwich Choco Waffle Tacos Momos Cheese Nachos,Cafe Mexican Italian Momos Beverages,550
4.1/5,Banashankari,Cafe,Waffles Pasta Crispy Chicken Honey Chilli Chicken Sandwich Coffee Crepe,Cafe,500
4.2/5,Banashankari,Cafe,Mocktails Peri Fries Lasagne Pizza Chicken Bbq Wings Virgin Mojito Nachos,Cafe Italian Continental,600
4.2/5,Banashankari,Cafe,Coffee Spaghetti Pancakes Nachos Pasta Sandwich Garlic Bread,Cafe Chinese Continental Italian,500
4.0/5,Banashankari,Cafe,Sandwich Omelette Ice Tea Virgin Mojito Hot Chocolate Pasta Arrabiata Hazelnut Cappuccino,Cafe Continental,450
3.8/5,Banashankari,Cafe Casual Dining,Churros Cannelloni Minestrone Soup Hot Chocolate Pink Sauce Pasta Salsa Veg Supreme Pizza,Cafe Mexican Italian,800
3.8/5,Banashankari,Cafe,Garlic Bread Burgers Sandwiches Pizza Hot Chocolate Fudge Waffles Potato Wedges,Cafe,650
3.9/5,Banashankari,Cafe,Momos Mushroom Bruschettas Jalapeno Cheeseballs Pasta Red Velvet Shake Red Velvet Milkshake Maggi,Cafe Fast Food Continental Chinese Momos,800
3.8/5,Banashankari,Cafe,Pasta Gelato Garlic Bread Mojito Nachos Paneer Pizza Mocktails,Chinese Cafe Italian,700
3.9/5,Banashankari,Cafe,Cheese Maggi Peri Peri Fries Pasta Arrabiata,Cafe Italian American,300
3.0/5,Banashankari,Cafe,Burgers Caramel Milkshake Iced Coffee Iced Tea,Cafe French North Indian,400
3.7/5,Banashankari,Cafe,Pizza Garlic Bread,Cafe Pizza Fast Food Beverages,500
3.6/5,Banashankari,Quick Bites Cafe,Pasta Iced Tea,Italian Fast Food Cafe European,600
